brewery_id,name,type,abv,ibu,rating,rating_count
18,Superfly Jimmy Snicka Stout,Stout - Milk / Sweet,7.5,35.0,4.16,1100
18,Trail Runner Golden Ale,Golden Ale,5.0,15.0,3.51,883
18,8.5.88 Double IPA,IPA - Imperial / Double,8.5,88.0,4.07,669
19,Weizenbock,Bock - Weizenbock,5.7,,3.64,1722
19,IPA,IPA - American,6.7,65.0,3.54,1531
19,Hefeweizen,Hefeweizen,5.4,10.0,3.57,1557
19,Blonde,Blonde Ale,5.2,15.0,3.48,891
19,Red Poppy Red Irish Ale,Red Ale - Irish,5.6,25.0,3.6,750
20,Texas Red,Red Ale - Irish,5.09,19.0,3.25,196
20,Honey Porter,Porter - Other,7.92,39.0,3.53,165
20,San Gabriel IPA,IPA - American,6.11,57.0,3.2,159
20,Irish Coffee Porter,Porter - English,9.48,39.0,3.73,112
20,Wee Heavy,Scotch Ale / Wee Heavy,8.0,30.0,3.74,68
21,Lovely Day IPA,IPA - American,6.8,70.0,3.62,2442
21,Könverter Kölsch,Kölsch,4.7,17.0,3.6,1699
21,Long Gone Blonde,Blonde Ale,5.2,10.0,3.6,1772
21,Cedrela Hefeweizen,Hefeweizen,5.0,8.0,3.65,1395
21,8.5 Minute Abs,IPA - Imperial / Double New England,8.5,55.0,4.04,1319
22,Wit-tington,Wheat Beer - Witbier,4.5,,3.72,498
22,Fan Fare,Farmhouse Ale - Saison,7.0,,3.67,389
22,Cloaked In A Violet Crown,Sour - Fruited,5.9,,3.87,372
22,Brillant Disguise,IPA - Milkshake,8.0,,3.6,333
22,Blind Alibi,IPA - International,7.5,,3.78,302
23,Liquid Television,Pale Ale - New England,6.1,46.0,4.1,258
23,Koala Takedown,IPA - International,6.5,50.0,3.97,189
23,Thumb Puncher,Pale Ale - American,4.5,35.0,3.77,149
23,Suavemente,Pale Ale - American,5.0,35.0,3.66,135
23,BJÖRN AGAIN TEXAN,Pale Ale - American,4.9,35.0,3.88,127
24,(512) Pecan Porter,Porter - American,6.2,30.0,3.89,41197
24,(512) IPA,IPA - American,7.0,65.0,3.73,34184
24,(512) Whiskey Barrel Aged Double Pecan Porter,Porter - Imperial / Double,9.5,30.0,4.2,8388
24,(512) Wit,Wheat Beer - Witbier,5.2,10.0,3.57,5775
24,(512) Cascabel Cream Stout,Stout - Milk / Sweet,6.0,20.0,3.79,5303
25,Superliner,IPA - American,6.8,60.0,3.75,4208
25,Hell Yes Helles,Lager - Helles,4.5,18.0,3.66,3751
25,Big Mama Red,Red Ale - Imperial / Double,7.9,80.0,3.71,3416
25,Industry Pils,Pilsner - German,4.9,40.0,3.67,3107
25,Day Trip Pale Ale,Pale Ale - American,5.5,39.0,3.64,3026
26,Stash IPA,IPA - American,7.5,94.0,3.73,38976
26,Austin Amber,Red Ale - American Amber / Red,6.0,32.0,3.47,25291
26,Convict Hill,Stout - Oatmeal,8.0,25.0,3.8,16302
26,Redbud,Sour - Berliner Weisse,4.9,12.0,3.62,11863
26,Power & Light Session IPA,IPA - Session / India Session Ale,5.5,42.0,3.55,10446
27,Peak Season,IPA - New England,6.6,,3.92,612
27,Sunrise Getdown,Kölsch,5.3,28.0,3.71,336
27,South Swell,IPA - American,7.7,40.0,3.79,207
27,Floating Market,Farmhouse Ale - Saison,6.8,,3.79,173
27,Dad Stance,IPA - Milkshake,7.0,,3.74,162
28,Oocheenama,Wheat Beer - Other,5.4,16.0,3.65,401
28,Hoprocker IRA,Red Ale - American Amber / Red,6.5,62.0,3.47,241
